title,category,authors,year,venue,ee,url
Securing the Future: Exploring Privacy Risks and Security Questions in Robotic Systems.,ROBOT;PRIVACY,Diba Afroze; Yazhou Tu; Xiali Hei 0001,2023,SmartSP,https://doi.org/10.1007/978-3-031-51630-6_10,https://dblp.org/db/conf/smartsp/smartsp2023.html#AfrozeT023
Social Robots in Care and Data Privacy - A European Perspective.,ROBOT;PRIVACY,Felix Carros; Anne Wierling,2023,InfraHealth,https://doi.org/10.48340/ihc2023_p009,https://dblp.org/db/conf/infrahealth/infrahealth2023.html#CarrosW23
Privacy-Preserving Robot Vision with Anonymized Faces by Extreme Low Resolution.,ROBOT;PRIVACY,Myeung Un Kim; Harim Lee; Hyun Jong Yang; Michael S. Ryoo,2019,IROS,https://doi.org/10.1109/IROS40897.2019.8967681,https://dblp.org/db/conf/iros/iros2019.html#KimLYR19
Robots as AI Double Agents: Privacy in Motion Planning.,ROBOT;PRIVACY,Rahul Shome; Zachary K. Kingston; Lydia E. Kavraki,2023,IROS,https://doi.org/10.1109/IROS55552.2023.10341460,https://dblp.org/db/conf/iros/iros2023.html#ShomeKK23
BRNES: Enabling Security and Privacy-Aware Experience Sharing in Multiagent Robotic and Autonomous Systems.,ROBOT;PRIVACY,Md Tamjid Hossain; Hung Manh La; Shahriar Badsha; Anton Netchaev,2023,IROS,https://doi.org/10.1109/IROS55552.2023.10341559,https://dblp.org/db/conf/iros/iros2023.html#HossainLBN23
Privacy and security challenges for autonomous agents : A study of two social humanoid service robots.,ROBOT;PRIVACY,Dennis Bistr; Magnus Westerlund; Bob Duncan; Martin Gilje Jaatun,2022,CloudCom,https://doi.org/10.1109/CloudCom55334.2022.00040,https://dblp.org/db/conf/cloudcom/cloudcom2022.html#BistromWDJ22
Towards A Unique User-Centric Security & Privacy (S&P) Label For Social Robots.,ROBOT;PRIVACY,Ankur Chattopadhyay; Mohammad Q. Azhar; Ezra Faith; Alexandra Lisa; Oksana Piven; Suhaas Ravela,2025,ISDFS,https://doi.org/10.1109/ISDFS65363.2025.11012099,https://dblp.org/db/conf/isdfs/isdfs2025.html#ChattopadhyayAF25
"""Socially Assistive Robot Privacy Model"": A Multi-model Approach to Evaluating Socially Assistive Robot Privacy Concerns.",ROBOT;PRIVACY,Sawyer Collins; Cedomir Stanojevic; Casey C. Bennett; Zachary Henkel; Kenna Baugus Henkel; Nikki Abbott; Cindy L. Bethel; Selma Sabanovic,2024,ICSR + AI,https://doi.org/10.1007/978-981-96-3522-1_25,https://dblp.org/db/conf/socrob/ai2024.html#CollinsSBHHABS24
"Embodiment, Privacy and Social Robots: May I Remember You?",ROBOT;PRIVACY,Meg Tonkin; Jonathan Vitale; Suman Ojha; Jesse Clark; Sammy Pfeiffer; William Judge; Xun Wang 0006; Mary-Anne Williams,2017,ICSR,https://doi.org/10.1007/978-3-319-70022-9_50,https://dblp.org/db/conf/socrob/icsr2017.html#TonkinVOCPJWW17
Privacy Concerns in Robot Teleoperation: Does Personality Influence What Should Be Hidden?,ROBOT;PRIVACY,Sogol Balali; Ross T. Sowell; William D. Smart; Cindy M. Grimm,2019,ICSR,https://doi.org/10.1007/978-3-030-35888-4_67,https://dblp.org/db/conf/socrob/icsr2019.html#BalaliSSG19
"A Telepresence Robot in Residential Care: Family Increasingly Present, Personnel Worried About Privacy.",ROBOT;PRIVACY,Marketta Niemel; Lina van Aerschot; Antti Tammela; Iina Aaltonen,2017,ICSR,https://doi.org/10.1007/978-3-319-70022-9_9,https://dblp.org/db/conf/socrob/icsr2017.html#NiemelaATA17
