title,category,authors,year,venue,ee,url
"A Crowd-Based Intelligence Approach for Measurable Security, Privacy, and Dependability in Internet of Automated Vehicles with Vehicular Fog.",ROBOT;PRIVACY,Ashish Rauniyar; Desta Haileselassie Hagos; Manish Shrestha,2018,mis,https://doi.org/10.1155/2018/7905960,https://dblp.org/db/journals/mis/mis2018.html#RauniyarHS18
Accident reduction through a privacy-preserving method on top of a novel ontology for autonomous vehicles with the support of modular arithmetic.,ROBOT;PRIVACY,Mehdi Gheisari; Aminreza Karamoozian; Jiechao Gao; Hemn Barzan Abdalla; Shuja Ansari; Riaz Ullah Khan; Zhaoxi Fang,2024,vcomm,https://doi.org/10.1016/j.vehcom.2024.100732,https://dblp.org/db/journals/vcomm/vcomm46.html#GheisariKGAAKF24
Special Issue on Secure and privacy-preserving Autonomous Vehicle Networks (AVNs).,ROBOT;PRIVACY,Pin-Han Ho; Limei Peng; Xiaohong Jiang 0001; Anwar Haque,2018,vcomm,https://doi.org/10.1016/j.vehcom.2018.02.003,https://dblp.org/db/journals/vcomm/vcomm11.html#HoPJH18
Privacy Protection of Automated and Self-Driving Vehicles (Dagstuhl Seminar 22042).,ROBOT;PRIVACY,Frank Kargl; Ioannis Krontiris; Andr; Ian Williams,2022,dagstuhl-reports,https://doi.org/10.4230/DagRep.12.1.83,https://dblp.org/db/journals/dagstuhl-reports/dagstuhl-reports12.html#KarglKWW22
Privacy Protection of Automated and Self-Driving Vehicles (Dagstuhl Seminar 23242).,ROBOT;PRIVACY,Frank Kargl; Ioannis Krontiris; Jason Millar; Andr; Kevin Gomez,2023,dagstuhl-reports,https://doi.org/10.4230/DagRep.13.6.22,https://dblp.org/db/journals/dagstuhl-reports/dagstuhl-reports13.html#KarglKMWG23
FLAV: Federated Learning for Autonomous Vehicle privacy protection.,ROBOT;PRIVACY,Yingchun Cui; Jinghua Zhu; Jinbao Li,2025,adhoc,https://doi.org/10.1016/j.adhoc.2024.103685,https://dblp.org/db/journals/adhoc/adhoc166.html#CuiZL25
Chaos-based privacy preserving vehicle safety protocol for 5G Connected Autonomous Vehicle networks.,ROBOT;PRIVACY,Shuja Ansari; Jawad Ahmad 0001; Syed Aziz Shah; Ali Kashif Bashir; Tuleen Boutaleb; Sinan Sinanovic,2020,ett,https://doi.org/10.1002/ett.3966,https://dblp.org/db/journals/ett/ett31.html#AnsariASBBS20
Privacy-preserving authentication scheme for digital twin-enabled autonomous vehicle environments.,ROBOT;PRIVACY,Chien-Ming Chen 0001; Qingkai Miao; Sachin Kumar 0002; Tsu-Yang Wu,2023,ett,https://doi.org/10.1002/ett.4751,https://dblp.org/db/journals/ett/ett34.html#ChenMKW23
Blockchain-based privacy-preserving valet parking for self-driving vehicles.,ROBOT;PRIVACY,Yunyi Fang; Yanqi Zhao; Yong Yu 0002; Hui Zhu 0001; Xiaojiang Du; Mohsen Guizani,2021,ett,https://doi.org/10.1002/ett.4239,https://dblp.org/db/journals/ett/ett32.html#FangZYZDG21
A Privacy-Preserving Federated Learning With a Feature of Detecting Forged and Duplicated Gradient Model in Autonomous Vehicle.,ROBOT;PRIVACY,Abdulrahman Alamer; Sultan Basudan,2025,access,https://doi.org/10.1109/ACCESS.2025.3545786,https://dblp.org/db/journals/access/access13.html#AlamerB25
GeFL: Gradient Encryption-Aided Privacy Preserved Federated Learning for Autonomous Vehicles.,ROBOT;PRIVACY,Raj Parekh; Nisarg P. Patel; Rajesh Gupta 0007; Nilesh Kumar Jadav; Sudeep Tanwar; Abdullah Alharbi; Amr Tolba; Bogdan Constantin Neagu; Maria Simona Raboaca,2023,access,https://doi.org/10.1109/ACCESS.2023.3233983,https://dblp.org/db/journals/access/access11.html#ParekhPGJTATNR23
"Recent Advances in Federated Learning for Connected Autonomous Vehicles: Addressing Privacy, Performance, and Scalability Challenges.",ROBOT;PRIVACY,Asad Ali; Jianjun Huang 0002; Ayesha Jabbar,2025,access,https://doi.org/10.1109/ACCESS.2025.3562128,https://dblp.org/db/journals/access/access13.html#AliHJ25
DeepClean: A Robust Deep Learning Technique for Autonomous Vehicle Camera Data Privacy.,ROBOT;PRIVACY,Olayinka Adeboye; Tooska Dargahi; Meisam Babaie; Mohamad Saraee; Chia-Mu Yu,2022,access,https://doi.org/10.1109/ACCESS.2022.3222834,https://dblp.org/db/journals/access/access10.html#AdeboyeDBSY22
Privacy-Preserving Object Detection With Poisoning Recognition for Autonomous Vehicles.,ROBOT;PRIVACY,Jiayin Li; Wenzhong Guo; Lehui Xie; Ximeng Liu; Jianping Cai,2023,tnse,https://doi.org/10.1109/TNSE.2022.3227119,https://dblp.org/db/journals/tnse/tnse10.html#LiGXLC23
"CAPPAD: a privacy-preservation solution for autonomous vehicles using SDN, differential privacy and data aggregation.",ROBOT;PRIVACY,Mehdi Gheisari; Wazir Zada Khan; Hamid Esmaeili Najafabadi; Gavin McArdle; Hamidreza Rabiei-Dastjerdi; Yang Liu 0039; Christian Fern; Hemn Barzan Abdalla,2024,apin,https://doi.org/10.1007/s10489-023-04991-w,https://dblp.org/db/journals/apin/apin54.html#GheisariKNMR0FA24
"Privacy-Preserving Outsourcing Learning for Connected Autonomous Vehicles: Challenges, Solutions, and Perspectives.",ROBOT;PRIVACY,Jinbo Xiong; Renwan Bi; Yuanyuan Zhang 0009; Qi Li 0011; Li Lin 0001; Youliang Tian,2024,network,https://doi.org/10.1109/MNET.2024.3368457,https://dblp.org/db/journals/network/network38.html#XiongBZLLT24
Privacy and Integrity Considerations in Hyperconnected Autonomous Vehicles.,ROBOT;PRIVACY,Stamatis Karnouskos; Florian Kerschbaum,2018,pieee,https://doi.org/10.1109/JPROC.2017.2725339,https://dblp.org/db/journals/pieee/pieee106.html#KarnouskosK18
Achieving Lightweight and Privacy-Preserving Object Detection for Connected Autonomous Vehicles.,ROBOT;PRIVACY,Renwan Bi; Jinbo Xiong; Youliang Tian; Qi Li 0011; Kim-Kwang Raymond Choo,2023,iotj,https://doi.org/10.1109/JIOT.2022.3212464,https://dblp.org/db/journals/iotj/iotj10.html#BiXTLC23
Privacy-Preserving Autonomous Vehicle Group Formation in a Collusive Attack Scenario.,ROBOT;PRIVACY,Zebin Xiang; Jiujun Cheng; Cong Liu 0012; Qichao Mao; Guiyuan Yuan; Shangce Gao,2025,iotj,https://doi.org/10.1109/JIOT.2025.3559151,https://dblp.org/db/journals/iotj/iotj12.html#XiangCLMYG25
Intuitive and Privacy-Preserving Traffic Light Control System for Autonomous Vehicles.,ROBOT;PRIVACY,Gunasekaran Raja; Lewis Nkenyereye; Ponnada Srividya; Thilaksurya Balachandar; Sai Ganesh Senthivel; Libin K. Mathew; Kapal Dev,2025,iotj,https://doi.org/10.1109/JIOT.2024.3491973,https://dblp.org/db/journals/iotj/iotj12.html#RajaNSBSMD25
Privacy-Preserving Ride Sharing Scheme for Autonomous Vehicles in Big Data Era.,ROBOT;PRIVACY,Ahmed B. T. Sherif; Khaled Rabieh; Mohamed M. E. A. Mahmoud; Xiaohui Liang,2017,iotj,https://doi.org/10.1109/JIOT.2016.2569090,https://dblp.org/db/journals/iotj/iotj4.html#SherifRML17
"Toward Lightweight, Privacy-Preserving Cooperative Object Classification for Connected Autonomous Vehicles.",ROBOT;PRIVACY,Jinbo Xiong; Renwan Bi; Youliang Tian; Ximeng Liu; Dapeng Wu 0002,2022,iotj,https://doi.org/10.1109/JIOT.2021.3093573,https://dblp.org/db/journals/iotj/iotj9.html#XiongBTLW22
ePPTM - Enhanced Privacy-Preserving Trajectory Matching on Autonomous Vehicles.,ROBOT;PRIVACY,Dominik Roy George; Savio Sciancalepore,2025,iotj,https://doi.org/10.1109/JIOT.2025.3556472,https://dblp.org/db/journals/iotj/iotj12.html#GeorgeS25
Achieving Personalized k-Anonymity-Based Content Privacy for Autonomous Vehicles in CPS.,ROBOT;PRIVACY,Jinbao Wang; Zhipeng Cai 0001; Jiguo Yu,2020,tii,https://doi.org/10.1109/TII.2019.2950057,https://dblp.org/db/journals/tii/tii16.html#WangCY20
"Equity, Safety, and Privacy in the Autonomous Vehicle Era.",ROBOT;PRIVACY,Vasant Dhar,2016,computer,https://doi.org/10.1109/MC.2016.326,https://dblp.org/db/journals/computer/computer49.html#Dhar16
A Novel Image-Based Homomorphic Approach for Preserving the Privacy of Autonomous Vehicles Connected to the Cloud.,ROBOT;PRIVACY,Aiman Sultan; Shahzaib Tahir; Hasan Tahir; Tayyaba Anwer; Fawad Khan; Muttukrishnan Rajarajan; Omer F. Rana,2023,tits,https://doi.org/10.1109/TITS.2022.3219591,https://dblp.org/db/journals/tits/tits24.html#SultanTTAKRR23
"A Decentralized, Secure, and Reliable Vehicle Platoon Formation With Privacy Protection for Autonomous Vehicles.",ROBOT;PRIVACY,Rabia Khan; Amjad Mehmood; Houbing Song; Carsten Maple,2025,tits,https://doi.org/10.1109/TITS.2025.3537765,https://dblp.org/db/journals/tits/tits26.html#KhanMSM25
Privacy-Preserving Authentication Scheme for Connected Autonomous Vehicles.,ROBOT;PRIVACY,G; Kubra Nari-Baykal; Enver Ozdemir,2024,tits,https://doi.org/10.1109/TITS.2023.3338060,https://dblp.org/db/journals/tits/tits25.html#KurtNO24
Performance Analysis of Blockchain-Enabled Security and Privacy Algorithms in Connected and Autonomous Vehicles: A Comprehensive Review.,ROBOT;PRIVACY,Rabia Khan; Amjad Mehmood; Carsten Maple; Kevin Curran; Houbing Herbert Song,2024,tits,https://doi.org/10.1109/TITS.2023.3341358,https://dblp.org/db/journals/tits/tits25.html#KhanMMCS24
Edge-Cooperative Privacy-Preserving Object Detection Over Random Point Cloud Shares for Connected Autonomous Vehicles.,ROBOT;PRIVACY,Renwan Bi; Jinbo Xiong; Youliang Tian; Qi Li 0011; Ximeng Liu,2022,tits,https://doi.org/10.1109/TITS.2022.3213548,https://dblp.org/db/journals/tits/tits23.html#BiXTLL22
A Privacy-Preserving-Based Distributed Collaborative Scheme for Connected Autonomous Vehicles at Multi-Lane Signal-Free Intersections.,ROBOT;PRIVACY,Yuan Zhao; Dekui Gong; Shixi Wen; Lei Ding 0005; Ge Guo 0001,2024,tits,https://doi.org/10.1109/TITS.2023.3346395,https://dblp.org/db/journals/tits/tits25.html#ZhaoGWDG24
Edge-Assisted Privacy-Preserving Raw Data Sharing Framework for Connected Autonomous Vehicles.,ROBOT;PRIVACY,Jinbo Xiong; Renwan Bi; Mingfeng Zhao; Jingda Guo; Qing Yang 0003,2020,wc,https://doi.org/10.1109/MWC.001.1900463,https://dblp.org/db/journals/wc/wc27.html#XiongBZGY20
"Governing autonomous vehicles: emerging responses for safety, liability, privacy, cybersecurity, and industry risks.",ROBOT;PRIVACY,Araz Taeihagh; Hazel Si Min Lim,2018,corr,http://arxiv.org/abs/1807.05720,https://dblp.org/db/journals/corr/corr1807.html#abs-1807-05720
"SecEL: Privacy-Preserving, Verifiable and Fault-Tolerant Edge Learning for Autonomous Vehicles.",ROBOT;PRIVACY,Jiasi Weng 0001; Jian Weng 0001; Yue Zhang 0025; Ming Li 0049; Zhaodi Wen,2020,corr,https://arxiv.org/abs/2001.09624,https://dblp.org/db/journals/corr/corr2001.html#abs-2001-09624
"Privacy of Autonomous Vehicles: Risks, Protection Methods, and Future Directions.",ROBOT;PRIVACY,Chulin Xie; Zhong Cao; Yunhui Long; Diange Yang; Ding Zhao; Bo Li 0026,2022,corr,https://doi.org/10.48550/arXiv.2209.04022,https://dblp.org/db/journals/corr/corr2209.html#abs-2209-04022
FisheyePP4AV: A privacy-preserving method for autonomous vehicles on fisheye camera images.,ROBOT;PRIVACY,Linh Trinh; Bach Ha; Tu Tran,2023,corr,https://doi.org/10.48550/arXiv.2309.03799,https://dblp.org/db/journals/corr/corr2309.html#abs-2309-03799
Autonomous Vehicles for Smart and Sustainable Cities: An In-Depth Exploration of Privacy and Cybersecurity Implications.,ROBOT;PRIVACY,Hazel Si Min Lim; Araz Taeihagh,2018,corr,http://arxiv.org/abs/1804.10367,https://dblp.org/db/journals/corr/corr1804.html#abs-1804-10367
"RESFL: An Uncertainty-Aware Framework for Responsible Federated Learning by Balancing Privacy, Fairness and Utility in Autonomous Vehicles.",ROBOT;PRIVACY,Dawood Wasif; Terrence J. Moore; Jin-Hee Cho,2025,corr,https://doi.org/10.48550/arXiv.2503.16251,https://dblp.org/db/journals/corr/corr2503.html#abs-2503-16251
Privacy-preserving and Uncertainty-aware Federated Trajectory Prediction for Connected Autonomous Vehicles.,ROBOT;PRIVACY,Muzi Peng; Jiangwei Wang; Dongjin Song; Fei Miao; Lili Su,2023,corr,https://doi.org/10.48550/arXiv.2303.04340,https://dblp.org/db/journals/corr/corr2303.html#abs-2303-04340
Privacy-Preserving in Connected and Autonomous Vehicles Through Vision to Text Transformation.,ROBOT;PRIVACY,Abdolazim Rezaei; Mehdi Sookhak; Ahmad Patooghy,2025,corr,https://doi.org/10.48550/arXiv.2506.15854,https://dblp.org/db/journals/corr/corr2506.html#abs-2506-15854
